last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,woba,
Rosario, Eddie,592696,2021,30,379,412,98,62,19,3,14,61,26,14.8,6.3,.259,.435,.303,.739,.316,
Simmons, Andrelton,592743,2021,32,412,451,92,77,12,0,3,62,32,13.7,7.1,.223,.274,.282,.556,.252,
Walker, Taijuan,592836,2021,29,47,51,5,5,0,0,0,29,1,56.9,2.0,.106,.106,.137,.244,.119,
Wilkerson, Stevie,592859,2021,29,72,76,12,9,3,0,0,30,3,39.5,3.9,.167,.208,.211,.419,.190,
Yelich, Christian,592885,2021,30,399,475,99,69,19,2,9,113,70,23.8,14.7,.248,.373,.362,.736,.325,
Merrifield, Whit,593160,2021,32,664,720,184,129,42,3,10,103,40,14.3,5.6,.277,.395,.317,.711,.306,
Bogaerts, Xander,593428,2021,29,529,603,156,98,34,1,23,113,62,18.7,10.3,.295,.493,.370,.863,.368,
Rivas, Webster,593590,2021,31,68,77,15,11,2,0,2,16,8,20.8,10.4,.221,.338,.299,.637,.286,
Alberto, Hanser,593643,2021,29,241,255,65,40,20,3,2,26,4,10.2,1.6,.270,.402,.286,.689,.296,
Polanco, Jorge,593871,2021,28,588,644,158,88,35,2,33,118,45,18.3,7.0,.269,.503,.323,.826,.349,
Sano, Miguel,593934,2021,28,470,532,105,51,24,0,30,183,59,34.4,11.1,.223,.466,.312,.778,.332,
Difo, Wilmer,594694,2021,29,219,240,59,45,7,3,4,54,20,22.5,8.3,.269,.384,.329,.713,.312,
Calhoun, Kole,594777,2021,34,166,182,39,26,8,0,5,41,15,22.5,8.2,.235,.373,.297,.670,.292,
Duvall, Adam,594807,2021,33,513,555,117,60,17,2,38,174,35,31.4,6.3,.228,.491,.281,.772,.324,
Eaton, Adam,594809,2021,33,254,288,51,33,10,2,6,71,22,24.7,7.6,.201,.327,.278,.605,.271,
Gosselin, Phil,594838,2021,33,345,373,90,69,14,0,7,81,24,21.7,6.4,.261,.362,.314,.676,.297,
Kiermaier, Kevin,595281,2021,31,348,390,90,60,19,7,4,99,33,25.4,8.5,.259,.388,.328,.716,.310,
Knapp, Andrew,595284,2021,30,145,159,22,17,3,0,2,61,10,38.4,6.3,.152,.214,.214,.428,.196,
Wallach, Chad,595453,2021,30,60,66,12,9,2,1,0,32,3,48.5,4.5,.200,.267,.242,.509,.224,
Alfaro, Jorge,595751,2021,28,295,311,72,52,15,1,4,99,11,31.8,3.5,.244,.342,.283,.625,.274,
Profar, Jurickson,595777,2021,28,353,412,80,57,17,2,4,65,49,15.8,11.9,.227,.320,.328,.648,.293,
Baez, Javier,595879,2021,29,502,547,133,82,18,2,31,184,28,33.6,5.1,.265,.494,.318,.812,.344,
Cave, Jake,595909,2021,29,164,178,31,21,6,1,3,62,10,34.8,5.6,.189,.293,.247,.540,.241,
Evans, Phillip,595943,2021,29,214,247,44,34,5,0,5,53,28,21.5,11.3,.206,.299,.312,.611,.278,
Gallagher, Cam,595956,2021,29,112,124,28,21,6,0,1,20,8,16.1,6.5,.250,.330,.290,.621,.276,
Hedges, Austin,595978,2021,29,286,312,51,34,7,0,10,87,15,27.9,4.8,.178,.308,.215,.522,.227,
Lindor, Francisco,596019,2021,28,452,524,104,65,16,3,20,96,58,18.3,11.1,.230,.412,.319,.730,.317,
Nogowski Jr., John,596056,2021,28,129,143,30,22,7,0,1,22,12,15.4,8.4,.233,.310,.301,.611,.273,
Odor, Rougned,596059,2021,27,322,361,65,38,12,0,15,100,27,27.7,7.5,.202,.379,.285,.664,.289,
Slater, Austin,596103,2021,29,274,306,66,41,12,1,12,84,28,27.5,9.2,.241,.423,.320,.744,.321,
Story, Trevor,596115,2021,29,526,595,132,69,34,5,24,139,53,23.4,8.9,.251,.471,.329,.801,.341,
Vogelbach, Daniel,596129,2021,29,215,258,47,30,8,0,9,57,43,22.1,16.7,.219,.381,.349,.730,.323,
Sanchez, Gary,596142,2021,29,383,440,78,41,13,1,23,121,52,27.5,11.8,.204,.423,.307,.730,.314,
Kepler, Max,596146,2021,28,426,490,90,46,21,4,19,96,54,19.6,11.0,.211,.413,.306,.719,.309,
Quinn, Roman,596451,2021,28,52,62,9,5,2,2,0,19,6,30.6,9.7,.173,.288,.306,.595,.275,
Franco, Maikel,596748,2021,29,377,403,79,46,22,0,11,67,20,16.6,5.0,.210,.355,.253,.609,.263,
Garcia, Robel,596825,2021,28,106,117,16,12,3,0,1,42,8,35.9,6.8,.151,.208,.214,.421,.194,
Choi, Ji-Man,596847,2021,30,258,305,59,34,14,0,11,87,45,28.5,14.8,.229,.411,.348,.758,.334,
Bradley Jr., Jackie,598265,2021,31,387,428,63,40,14,3,6,132,28,30.8,6.5,.163,.261,.236,.497,.224,
La Stella, Tommy,600303,2021,32,220,242,55,36,11,1,7,26,18,10.7,7.4,.250,.405,.306,.710,.307,
Severino, Pedro,600474,2021,28,379,419,94,65,18,0,11,109,34,26.0,8.1,.248,.383,.308,.690,.299,
Nunez, Renato,600524,2021,27,53,55,10,3,3,0,4,16,1,29.1,1.8,.189,.472,.218,.690,.287,
Candelario, Jeimer,600869,2021,28,557,626,151,90,42,3,16,135,65,21.6,10.4,.271,.443,.351,.795,.344,
Daza, Yonathan,602074,2021,27,301,331,85,69,12,2,2,60,21,18.1,6.3,.282,.355,.326,.682,.304,
Urias, Ramon,602104,2021,27,262,296,73,52,14,0,7,76,28,25.7,9.5,.279,.412,.361,.774,.341,
Rondon, Jose,602922,2021,27,80,90,21,15,3,0,3,17,8,18.9,8.9,.263,.413,.322,.735,.316,
Ahmed, Nick,605113,2021,31,434,473,96,58,30,3,5,104,34,22.0,7.2,.221,.339,.279,.618,.269,
Anderson, Brian,605119,2021,28,233,264,58,42,9,0,7,65,26,24.6,9.8,.249,.378,.337,.715,.314,
Barnes, Austin,605131,2021,32,200,225,43,29,8,0,6,56,20,24.9,8.9,.215,.345,.298,.643,.285,
Bell, Josh,605137,2021,29,498,568,130,78,24,1,27,101,65,17.8,11.4,.261,.476,.347,.823,.352,
Betts, Mookie,605141,2021,29,466,550,123,68,29,3,23,86,68,15.6,12.4,.264,.487,.367,.854,.365,
Caratini, Victor,605170,2021,28,313,356,71,55,9,0,7,82,35,23.0,9.8,.227,.323,.309,.632,.273,
Davis, J.D.,605204,2021,28,179,211,51,34,12,0,5,68,24,32.2,11.4,.285,.436,.384,.820,.357,
Garcia, Aramis,605244,2021,28,88,94,18,14,1,0,3,28,1,29.8,1.1,.205,.318,.234,.552,.244,
Musgrove, Joe,605397,2021,29,51,57,7,5,2,0,0,23,1,40.4,1.8,.137,.176,.140,.317,.143,
Nola, Aaron,605400,2021,28,49,63,7,5,2,0,0,29,6,46.0,9.5,.143,.184,.206,.390,.197,
Panik, Joe,605412,2021,31,236,257,49,37,9,0,3,34,17,13.2,6.6,.208,.284,.265,.548,.244,
Perez, Michael,605421,2021,29,210,231,30,14,8,1,7,68,19,29.4,8.2,.143,.290,.221,.511,.225,
Woodruff, Brandon,605540,2021,28,52,58,6,6,0,0,0,28,3,48.3,5.2,.115,.115,.155,.271,.134,
Zimmer, Bradley,605548,2021,29,299,348,68,50,9,1,8,122,30,35.1,8.6,.227,.344,.325,.669,.300,
Castro, Harold,605612,2021,28,315,339,89,72,13,1,3,72,14,21.2,4.1,.283,.359,.307,.666,.291,
Arcia, Orlando,606115,2021,27,81,89,16,11,3,0,2,19,7,21.3,7.9,.198,.309,.258,.567,.245,
Tapia, Raimel,606132,2021,27,487,533,133,99,26,2,6,70,40,13.1,7.5,.273,.372,.326,.698,.305,
Aquino, Aristides,606157,2021,27,174,204,33,16,6,1,10,75,27,36.8,13.2,.190,.408,.299,.707,.303,
Hernandez, Teoscar,606192,2021,29,550,595,163,102,29,0,32,148,36,24.9,6.1,.296,.524,.346,.870,.369,
Mercedes, Yermin,606213,2021,28,240,262,65,48,9,1,7,46,20,17.6,7.6,.271,.404,.328,.732,.317,
Peraza, Jose,606299,2021,27,142,154,29,16,7,0,6,26,9,16.9,5.8,.204,.380,.266,.647,.280,
Marte, Ketel,606466,2021,28,340,374,108,64,29,1,14,60,31,16.0,8.3,.318,.532,.377,.909,.385,
Greiner, Grayson,606988,2021,29,72,82,17,12,4,0,1,31,9,37.8,11.0,.236,.333,.317,.650,.293,
Haase, Eric,606992,2021,29,351,381,81,46,12,1,22,119,26,31.2,6.8,.231,.459,.286,.745,.316,
Nimmo, Brandon,607043,2021,28,325,386,95,67,17,3,8,79,54,20.5,14.0,.292,.437,.399,.836,.370,
Peterson, Jace,607054,2021,31,259,302,64,46,11,1,6,68,38,22.5,12.6,.247,.367,.348,.714,.318,
Turner, Trea,607208,2021,28,595,646,195,130,34,3,28,110,41,17.0,6.3,.328,.536,.375,.911,.386,
Smith, Kevan,607345,2021,33,95,106,16,13,3,0,0,31,10,29.2,9.4,.168,.200,.245,.445,.196,
Beaty, Matt,607461,2021,28,204,234,55,43,4,1,7,44,20,18.8,8.5,.270,.402,.363,.765,.339,
Blandino, Alex,607468,2021,29,70,82,14,10,4,0,0,28,8,34.1,9.8,.200,.257,.317,.574,.270,
Pillar, Kevin,607680,2021,32,325,347,75,47,11,2,15,81,11,23.3,3.2,.231,.415,.277,.692,.296,
Stallings, Jacob,607732,2021,32,374,427,92,63,20,1,8,85,49,19.9,11.5,.246,.369,.335,.704,.312,
Ramirez, Jose,608070,2021,29,552,636,147,74,32,5,36,87,72,13.7,11.3,.266,.538,.355,.893,.372,
Bregman, Alex,608324,2021,27,348,400,94,65,17,0,12,53,44,13.3,11.0,.270,.422,.355,.777,.336,
Fried, Max,608331,2021,27,55,67,15,12,3,0,0,18,4,26.9,6.0,.273,.327,.284,.611,.289,
Gallo, Joey,608336,2021,28,498,616,99,47,13,1,38,213,111,34.6,18.0,.199,.458,.351,.808,.348,
Kelly, Carson,608348,2021,27,304,359,73,48,11,1,13,74,44,20.6,12.3,.240,.411,.343,.754,.328,
Seager, Corey,608369,2021,27,353,409,108,67,22,3,16,66,48,16.1,11.7,.306,.521,.394,.915,.389,
Winker, Jesse,608385,2021,28,423,485,129,72,32,1,24,75,53,15.5,10.9,.305,.556,.394,.949,.403,
Marquez, German,608566,2021,26,53,60,14,8,5,0,1,13,0,21.7,0.0,.264,.415,.233,.648,.288,
Mazara, Nomar,608577,2021,26,165,181,35,25,5,2,3,45,15,24.9,8.3,.212,.321,.276,.597,.264,
Murphy, Tom,608596,2021,30,277,325,56,37,8,0,11,99,40,30.5,12.3,.202,.350,.302,.652,.291,
Jankowski, Travis,608671,2021,30,131,157,33,24,6,2,1,29,22,18.5,14.0,.252,.351,.357,.708,.312,
Mayfield, Jack,608686,2021,31,266,290,58,33,15,0,10,68,17,23.4,5.9,.218,.387,.269,.656,.284,
Plawecki, Kevin,608700,2021,30,157,173,45,35,7,0,3,26,12,15.0,6.9,.287,.389,.347,.735,.325,
Refsnyder, Rob,608701,2021,30,139,157,34,25,7,0,2,40,17,25.5,10.8,.245,.338,.325,.663,.296,
Mondesi, Adalberto,609275,2021,26,126,136,29,14,8,1,6,43,6,31.6,4.4,.230,.452,.265,.717,.306,
Andujar, Miguel,609280,2021,26,154,162,39,31,2,0,6,28,7,17.3,4.3,.253,.383,.284,.667,.288,
Vosler, Jason,613564,2021,28,73,82,13,6,4,0,3,21,7,25.6,8.5,.178,.356,.256,.612,.261,
Cordero, Franchy,614173,2021,27,127,136,24,17,6,0,1,51,8,37.5,5.9,.189,.260,.235,.495,.222,
Reyes, Franmil,614177,2021,26,418,466,106,56,18,2,30,149,43,32.0,9.2,.254,.522,.324,.846,.354,
Torrens, Luis,620443,2021,25,346,378,84,51,16,2,15,99,28,26.2,7.4,.243,.431,.299,.730,.311,
Robertson, Daniel,621002,2021,27,73,90,12,8,2,0,2,28,12,31.1,13.3,.164,.274,.300,.574,.265,
Martin Jr., Richie,621006,2021,27,98,105,23,20,2,0,1,28,4,26.7,3.8,.235,.286,.267,.552,.246,
Schrock, Max,621011,2021,27,125,134,36,24,7,2,3,24,8,17.9,6.0,.288,.448,.328,.776,.329,
Swanson, Dansby,621020,2021,27,588,653,146,84,33,2,27,167,52,25.6,8.0,.248,.449,.311,.760,.322,
Newman, Kevin,621028,2021,28,517,554,117,87,22,3,5,41,27,7.4,4.9,.226,.309,.262,.571,.249,
Taylor, Chris,621035,2021,31,507,582,129,80,25,4,20,167,63,28.7,10.8,.254,.438,.344,.782,.338,
Correa, Carlos,621043,2021,27,555,640,155,94,34,1,26,116,75,18.1,11.7,.279,.485,.366,.850,.364,
Buehler, Walker,621111,2021,27,69,82,7,5,2,0,0,45,5,54.9,6.1,.101,.130,.146,.277,.140,
Dahl, David,621311,2021,27,205,220,43,28,11,0,4,59,10,26.8,4.5,.210,.322,.245,.567,.246,
Phillips, Brett,621433,2021,27,253,292,52,26,9,4,13,113,33,38.7,11.3,.206,.427,.298,.725,.313,
Taylor, Tyrone,621438,2021,27,243,271,60,36,9,3,12,59,20,21.8,7.4,.247,.457,.321,.778,.333,
Buxton, Byron,621439,2021,28,235,254,72,30,23,0,19,62,13,24.4,5.1,.306,.647,.358,1.005,.419,
Brinson, Lewis,621446,2021,27,274,290,62,39,14,0,9,72,13,24.8,4.5,.226,.376,.262,.638,.275,
Bolt, Skye,621450,2021,27,57,60,5,3,1,0,1,15,1,25.0,1.7,.088,.158,.100,.258,.113,
Duggar, Steven,621453,2021,28,268,297,69,42,14,5,8,88,27,29.6,9.1,.257,.437,.330,.767,.327,
Rios, Edwin,621458,2021,27,51,60,4,3,0,0,1,18,7,30.0,11.7,.078,.137,.217,.354,.182,
Stewart, DJ,621466,2021,28,270,318,55,33,10,0,12,89,44,28.0,13.8,.204,.374,.324,.698,.310,
Ward, Taylor,621493,2021,28,208,237,52,29,15,0,8,55,20,23.2,8.4,.250,.438,.329,.767,.333,
Mathisen, Wyatt,621500,2021,28,42,51,5,4,0,0,1,21,5,41.2,9.8,.119,.190,.255,.445,.219,
Nido, Tomas,621512,2021,27,153,161,34,25,5,1,3,44,5,27.3,3.1,.222,.327,.261,.588,.254,
Wisdom, Patrick,621550,2021,30,338,375,78,37,13,0,28,153,32,40.8,8.5,.231,.518,.304,.822,.346,
Wendle, Joey,621563,2021,31,460,501,122,76,31,4,11,113,28,22.6,5.6,.265,.422,.319,.741,.317,
Olson, Matt,621566,2021,27,565,673,153,79,35,0,39,113,88,16.8,13.1,.271,.540,.371,.911,.379,
Jones, Taylor,622100,2021,28,102,108,25,14,8,1,2,29,4,26.9,3.7,.245,.402,.269,.670,.283,
Duffy, Matt,622110,2021,30,289,322,83,66,12,0,5,63,25,19.6,7.8,.287,.381,.357,.738,.327,
Walton, Donovan,622268,2021,27,63,69,13,8,2,1,2,15,4,21.7,5.8,.206,.365,.246,.611,.267,
Castillo, Luis,622491,2021,29,49,59,8,6,2,0,0,23,1,39.0,1.7,.163,.204,.153,.357,.169,
Margot, Manuel,622534,2021,27,421,464,107,76,18,3,10,70,37,15.1,8.0,.254,.382,.313,.695,.301,
Reyes, Pablo,622569,2021,28,78,87,20,14,5,0,1,15,9,17.2,10.3,.256,.359,.333,.692,.303,
Senzatela, Antonio,622608,2021,26,39,51,2,2,0,0,0,19,0,37.3,0.0,.051,.051,.039,.090,.045,
Reyes, Victor,622682,2021,27,209,220,54,35,10,4,5,55,8,25.0,3.6,.258,.416,.282,.698,.298,
Mateo, Jorge,622761,2021,26,194,209,48,32,11,1,4,55,9,26.3,4.3,.247,.376,.292,.668,.291,
Velazquez, Andrew,623205,2021,27,67,68,15,9,4,1,1,23,1,33.8,1.5,.224,.358,.235,.594,.252,
Bote, David,623520,2021,28,291,327,58,38,10,2,8,73,27,22.3,8.3,.199,.330,.275,.605,.268,
Ramirez, Harold,623912,2021,27,339,361,91,62,21,1,7,56,14,15.5,3.9,.268,.398,.305,.703,.302,
Santander, Anthony,623993,2021,27,406,438,98,56,24,0,18,101,23,23.1,5.3,.241,.433,.285,.719,.307,
Alonso, Pete,624413,2021,27,561,637,147,80,27,3,37,127,60,19.9,9.4,.262,.519,.344,.863,.363,
Arroyo, Christian,624414,2021,26,164,181,43,25,12,0,6,44,8,24.3,4.4,.262,.445,.320,.766,.332,
Biggio, Cavan,624415,2021,26,250,294,56,38,10,1,7,78,37,26.5,12.6,.224,.356,.320,.676,.298,
Conforto, Michael,624424,2021,28,406,479,94,60,20,0,14,104,59,21.7,12.3,.232,.384,.344,.729,.322,
Frazier, Adam,624428,2021,30,577,639,176,130,36,5,5,69,48,10.8,7.5,.305,.411,.366,.777,.341,
Trevino, Jose,624431,2021,29,285,302,68,49,14,0,5,57,12,18.9,4.0,.239,.340,.265,.605,.261,
Gordon, Nick,624503,2021,26,200,216,48,34,9,1,4,55,12,25.5,5.6,.240,.355,.292,.647,.283,
McGuire, Reese,624512,2021,26,198,217,50,34,15,0,1,44,15,20.3,6.9,.253,.343,.309,.652,.289,
Nunez, Dom,624513,2021,26,228,263,43,18,12,3,10,91,34,34.6,12.9,.189,.399,.293,.692,.294,
Soler, Jorge,624585,2021,29,516,602,115,61,27,0,27,142,67,23.6,11.1,.223,.432,.312,.744,.323,
Sosa, Edmundo,624641,2021,25,288,326,78,60,8,4,6,63,17,19.3,5.2,.271,.389,.344,.732,.322,
Heredia, Guillermo,628338,2021,30,305,347,67,36,26,0,5,81,32,23.3,9.2,.220,.354,.311,.665,.292,
Hernandez, Yadiel,628450,2021,34,264,289,72,54,8,1,9,59,22,20.4,7.6,.273,.413,.329,.742,.320,
Ibanez, Andy,628451,2021,28,253,272,70,46,15,2,7,35,15,12.9,5.5,.277,.435,.320,.755,.325,
Urias, Julio,628711,2021,25,59,70,12,10,2,0,0,22,0,31.4,0.0,.203,.237,.186,.423,.200,
Cronenworth, Jake,630105,2021,27,567,643,151,90,33,7,21,90,55,14.0,8.6,.266,.460,.336,.796,.341,
Frazier, Clint,640449,2021,27,183,218,34,20,9,0,5,65,32,29.8,14.7,.186,.317,.317,.633,.289,
Meadows, Austin,640457,2021,26,518,591,121,62,29,3,27,122,59,20.6,10.0,.234,.458,.315,.772,.327,
Mercado, Oscar,640458,2021,27,214,238,48,30,11,1,6,42,21,17.6,8.8,.224,.369,.298,.667,.294,
Pinder, Chad,640461,2021,29,214,233,52,29,16,1,6,62,16,26.6,6.9,.243,.411,.300,.712,.307,
Anderson, Tim,641313,2021,28,527,551,163,115,29,2,17,119,22,21.6,4.0,.309,.469,.338,.806,.345,
Bauers, Jake,641343,2021,26,282,315,59,48,7,0,4,78,30,24.8,9.5,.209,.277,.289,.565,.257,
Bellinger, Cody,641355,2021,26,315,350,52,31,9,2,10,94,31,26.9,8.9,.165,.302,.240,.542,.237,
Calhoun, Willie,641432,2021,27,260,284,65,46,10,3,6,34,21,12.0,7.4,.250,.381,.310,.691,.301,
Collins, Zack,641470,2021,26,195,231,41,24,13,0,4,69,34,29.9,14.7,.210,.338,.329,.667,.299,
Crawford, J.P.,641487,2021,26,619,687,169,123,37,0,9,114,58,16.6,8.4,.273,.376,.338,.714,.314,
Davis, Jonathan,641505,2021,29,87,103,11,9,1,0,1,26,12,25.2,11.7,.126,.172,.252,.425,.210,
Dozier, Hunter,641531,2021,30,487,543,105,56,27,6,16,154,43,28.4,7.9,.216,.394,.285,.680,.293,
Engel, Adam,641553,2021,30,123,140,31,15,9,0,7,31,11,22.1,7.9,.252,.496,.336,.832,.354,
Fargas, Johneshwy,641561,2021,27,52,54,13,8,3,2,0,15,1,27.8,1.9,.250,.385,.259,.644,.275,
Fraley, Jake,641584,2021,26,214,265,45,29,7,0,9,71,46,26.8,17.4,.210,.369,.351,.720,.322,
Garver, Mitch,641598,2021,30,207,243,53,25,15,0,13,71,31,29.2,12.8,.256,.517,.358,.875,.372,
Guillorme, Luis,641645,2021,27,132,156,35,31,3,0,1,23,23,14.7,14.7,.265,.311,.372,.682,.311,
Hampson, Garrett,641658,2021,27,453,494,106,68,21,6,11,118,33,23.9,6.7,.234,.380,.287,.667,.288,
Heim, Jonah,641680,2021,26,265,285,52,29,13,0,10,58,15,20.4,5.3,.196,.358,.239,.597,.256,
Lewis, Kyle,641786,2021,26,130,147,32,23,4,0,5,37,16,25.2,10.9,.246,.392,.333,.726,.320,
Locastro, Tim,641796,2021,29,139,156,25,19,4,0,2,33,7,21.2,4.5,.180,.252,.263,.515,.237,
Mahle, Tyler,641816,2021,27,55,66,3,3,0,0,0,19,4,28.8,6.1,.055,.055,.106,.161,.092,
Mancini III, Trey,641820,2021,29,556,616,142,87,33,1,21,143,51,23.2,8.3,.255,.432,.326,.758,.326,
Martin, Jason,641829,2021,26,144,154,30,21,3,0,6,41,8,26.6,5.2,.208,.354,.247,.601,.260,
McKinney, Billy,641856,2021,27,265,300,51,28,11,3,9,79,32,26.3,10.7,.192,.358,.280,.638,.277,
McMahon, Ryan,641857,2021,27,528,596,134,78,32,1,23,147,59,24.7,9.9,.254,.449,.331,.779,.334,
Neuse, Sheldon,641914,2021,27,65,66,11,7,1,0,3,26,1,39.4,1.5,.169,.323,.182,.505,.214,
O'Neill, Tyler,641933,2021,26,482,537,138,76,26,2,34,168,38,31.3,7.1,.286,.560,.352,.912,.384,
Sisco, Chance,642082,2021,26,74,83,11,8,3,0,0,21,7,25.3,8.4,.149,.189,.241,.430,.205,
Smith, Dominic,642086,2021,26,446,493,109,78,20,0,11,112,32,22.7,6.5,.244,.363,.304,.667,.291,
Tellez, Rowdy,642133,2021,26,297,325,72,45,14,2,11,65,23,20.0,7.1,.242,.414,.305,.719,.306,
Valaika, Pat,642162,2021,29,259,281,52,39,8,0,5,76,16,27.0,5.7,.201,.290,.249,.539,.238,
VanMeter, Josh,642165,2021,26,274,310,58,33,17,2,6,83,33,26.8,10.6,.212,.354,.297,.651,.287,
Wade, Tyler,642180,2021,27,127,145,34,28,5,1,0,37,16,25.5,11.0,.268,.323,.352,.675,.304,
White, Eli,642201,2021,27,198,220,35,22,6,1,6,66,18,30.0,8.2,.177,.308,.259,.567,.253,
Williams, Justin,642211,2021,26,119,137,19,15,0,0,4,46,17,33.6,12.4,.160,.261,.270,.531,.229,
Wong, Kean,642221,2021,26,60,66,10,7,2,1,0,17,2,25.8,3.0,.167,.233,.182,.415,.187,
